pool,block_number,block_hash,block_time,log_index,tx_hash,sender,recipient,amount0,amount1,sqrt_price_x96,liquidity,price,tick,gasUsed,gasPrice
mypool,15837666,0xf3bb92af81bfa3d319afe9352bac2ce1d07824673bd1460b358bbf1a9e1ea2ec,1666852655,2,0xf3bb92af81bfa3d319afe9352bac2ce1d07824673bd1460b358bbf1a9e1ea2ec,0x2393eabfb6885e83822f79cbf5bd1fc05c95fe54,recipient,219380.73852,-140.58573400868656,2005341406355567540876770299441446,0,1560.9267561977836,202790,193151,115019319406
mypool,15837668,0xb7bf7037c04e31cf6f2f7bf5a2ee534561e956cae77f348f958dc4f613b40ef6,1666852679,250,0xb7bf7037c04e31cf6f2f7bf5a2ee534561e956cae77f348f958dc4f613b40ef6,0xb1239ad3699ecaa07aa9e0f39b4bcd912427220a,recipient,-3500.190155,2.2416579479135468,2005516848401369178169763076901743,0,1560.6536692821423,202791,650000,11771493214
mypool,15837668,0xbffb62d72d38e11ea68c258f3c9ee02885528829d8642e96706c83341e24b1e4,1666852679,15,0xbffb62d72d38e11ea68c258f3c9ee02885528829d8642e96706c83341e24b1e4,0x3fbaea01b228368e67ca40d8cb195018fd095318,recipient,95467.652728,-61.19703204899999,2005523522691639519964977903638476,0,1560.6432817318096,202791,251288,10581493214
mypool,15837669,0x0cc2d48b243518f9c5d5f2d8537499e95c8262afb19b870d2a4691d38f97183a,1666852691,186,0x0cc2d48b243518f9c5d5f2d8537499e95c8262afb19b870d2a4691d38f97183a,0x10763988715993eaf59905029ce3414ada0b5200,recipient,-3673.628657,2.352718664704,2005509843440015774109032545504298,0,1560.6645715848838,202791,242064,11500270642
mypool,15837670,0x0a8a97af9d155e5607fa45632ccc4ac194783fbdc3de397e447bae8452f7799c,1666852703,9,0x0a8a97af9d155e5607fa45632ccc4ac194783fbdc3de397e447bae8452f7799c,0x30f1d1ffad34b24bb8310ad9dd237b854b4daea7,recipient,-10931.113671,7.000565503849424,2005489000025313401058468083250654,0,1560.6970122992625,202791,248468,13304150571
mypool,15837671,0xdae86135368379cb1dde35f19304cc2e8d60a436873ffba6562c79b2b76e9199,1666852715,63,0xdae86135368379cb1dde35f19304cc2e8d60a436873ffba6562c79b2b76e9199,0x0cac3d1a887206e0f6169222c4504301a8b4b993,recipient,459951.819836,-294.9856877265,2006356433676686157185698719112311,0,1559.3477919590462,202800,338156,15622475728
mypool,15837672,0x365c9892d0cf5a47a5e019afa07bfab41e916338f2e1b9ec14ea3fe9085a89ab,1666852727,147,0x365c9892d0cf5a47a5e019afa07bfab41e916338f2e1b9ec14ea3fe9085a89ab,0xbfd15310f57389d50f3bf19cfdd56ffb562b7269,recipient,-1306.374838,0.8373467798473271,2006350539641623539245910927581048,0,1559.3569537320054,202800,335108,11503965687
mypool,15837672,0x62a68a5a581cadb08e2295e7ca05bd68796a2d25aab998009811396471c8fa20,1666852727,265,0x62a68a5a581cadb08e2295e7ca05bd68796a2d25aab998009811396471c8fa20,0x3cbac8a11ca64394212f548ab2a9c3d75c6953ec,recipient,-1529.93378,0.9806402287995587,2006349324929574987618562886707163,0,1559.358841907937,202800,407025,11003965687
mypool,15837672,0x77bb66bb6abcc02024000861dc9f914e1fb44b1e5284cbbca692e6c70662696c,1666852727,244,0x77bb66bb6abcc02024000861dc9f914e1fb44b1e5284cbbca692e6c70662696c,0xd4c5f15350336edaf07b69e0576057497bdcccdc,recipient,347.933685,-0.22323804750198348,2006350897436241812646546474874861,0,1559.3563975685972,202800,174458,11503965687
mypool,15837672,0x84acae45390c7854ed0dac284a4db4af7f1f73d91f052d7dc8c276080a572862,1666852727,67,0x84acae45390c7854ed0dac284a4db4af7f1f73d91f052d7dc8c276080a572862,0x1fd34033240c95aabf73e186a94b9576c6dab81b,recipient,-1872.565813,1.2002600341759029,2006351882369930092870960263737506,0,1559.3548665686922,202800,469034,12176852162
